type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster
1,12,28,48,72,32,62,192,201,36,21,9,2,
1,18,39,28,12,5,22,67,20,58,35,50,6,
1,25,16,30,13,44,33,92,247,81,43,24,3,
1,28,35,34,66,20,9,108,106,33,13,45,4,
1,21,14,34,13,20,32,83,127,38,28,28,4,
1,33,27,34,13,14,37,85,110,39,37,23,5,
1,12,52,63,98,64,8,140,216,21,22,10,2,
1,23,17,31,20,21,26,122,124,37,31,18,4,
1,3,32,0,67,30,42,148,153,47,37,17,3,
1,18,15,37,84,36,28,126,174,49,30,30,4,
1,15,35,19,61,24,22,125,160,32,37,17,2,
1,22,3,31,48,41,60,125,216,72,18,10,4,
1,29,11,51,62,3,19,66,123,31,14,43,4,
1,14,36,27,80,18,39,174,182,31,34,14,2,
1,28,37,25,16,27,12,115,138,25,12,11,2,
1,25,22,33,151,34,37,154,323,20,16,6,3,
1,4,48,1,11,3,23,84,11,55,10,49,4,
1,12,14,68,11,100,6,43,116,29,20,16,3,
1,38,10,37,34,24,40,124,129,12,13,21,3,
1,32,14,35,14,34,14,66,138,32,19,16,4,
1,28,10,43,9,27,23,91,129,28,49,22,3,
1,38,15,41,11,25,34,107,109,28,23,35,4,
1,23,15,40,19,38,22,148,179,65,36,24,3,
1,34,83,29,19,31,15,119,186,39,45,28,1,
1,25,22,33,80,32,27,133,241,27,28,6,2,
1,32,26,35,17,38,28,103,96,26,46,38,4,
1,32,41,31,12,24,31,148,96,17,29,34,4,
1,20,9,32,49,43,30,100,216,60,13,6,4,
1,35,17,57,162,33,63,185,363,18,25,9,3,
1,15,27,24,61,22,52,136,186,45,12,10,3,
1,24,41,14,17,13,25,69,34,47,33,52,4,
1,19,2,31,123,35,33,88,311,71,19,8,3,
1,21,15,27,6,32,35,140,138,36,17,7,3,
1,37,10,32,3,60,15,44,98,31,20,25,3,
1,21,33,16,81,26,69,189,233,30,14,5,2,
1,27,7,33,7,39,50,134,168,46,54,13,3,
1,29,24,42,47,46,18,97,263,55,24,17,3,
1,34,71,44,58,14,12,100,206,31,8,13,2,
1,28,17,43,16,20,7,101,67,18,44,55,3,
1,20,12,36,11,11,36,75,96,47,19,28,3,
1,44,28,40,3,26,11,46,101,13,0,24,3,
1,16,20,32,5,28,13,187,96,50,18,30,3,
1,25,30,29,128,27,45,199,333,23,15,3,3,
1,31,7,27,14,25,43,158,206,62,17,8,3,
1,6,26,22,54,18,47,141,195,83,25,24,4,
1,16,20,29,76,21,64,198,195,23,8,8,3,
1,32,18,41,144,28,44,145,361,38,43,2,4,
1,30,10,40,13,10,27,121,60,19,52,51,3,
1,36,10,32,11,17,14,80,153,31,16,14,3,
1,42,23,37,62,29,52,140,186,10,9,21,3,
1,5,40,7,131,25,36,123,277,63,13,17,3,
1,28,14,41,11,28,3,96,72,21,48,55,3,
1,35,17,40,20,34,22,90,153,3,19,11,2,
1,24,10,31,0,24,50,103,101,44,7,18,3,
1,32,66,38,40,18,20,104,85,46,41,55,4,
1,14,5,25,60,28,57,139,189,69,11,24,3,
1,28,28,38,16,36,21,98,156,42,14,23,3,
1,21,43,31,89,28,35,133,129,55,9,45,4,
1,11,14,25,79,18,32,105,186,66,16,20,3,
1,25,24,35,129,34,34,176,333,21,20,5,4,
1,23,26,31,62,21,38,79,133,48,14,38,3,
1,44,28,48,117,26,27,118,311,27,8,20,1,
1,22,44,23,3,32,5,101,103,17,5,20,1,
1,24,26,70,132,34,57,143,311,20,18,4,2,
1,30,49,48,128,17,36,139,212,31,9,34,3,
1,37,11,70,36,34,27,110,120,45,14,50,3,
1,28,60,48,136,18,36,137,226,31,12,41,4,
1,24,0,48,7,34,16,129,168,63,18,21,3,
1,8,13,48,4,14,26,99,88,72,19,22,3,
1,26,14,48,96,14,24,113,153,16,6,30,4,
1,32,12,48,14,45,7,126,159,40,22,18,2,
1,35,15,48,13,22,37,149,148,22,11,20,3,
1,24,27,70,124,21,46,137,316,21,18,3,2,
1,23,12,70,153,28,43,156,352,55,41,6,3,
1,31,12,48,55,35,35,138,201,35,22,25,3,
1,30,31,70,14,17,32,137,60,46,26,55,3,
1,18,31,70,48,25,35,140,172,38,19,17,2,
1,49,32,48,151,30,10,101,362,35,19,11,2,
1,31,7,70,6,12,28,147,60,25,56,49,3,
1,22,30,48,38,31,36,117,143,12,14,10,3,
1,27,33,48,13,15,43,91,48,24,20,51,3,
1,30,26,48,32,11,26,69,95,20,6,34,4,
1,21,24,23,14,37,3,103,124,40,44,35,2,
1,30,57,48,75,27,27,130,195,38,7,18,2,
1,28,32,48,41,28,25,112,64,25,41,55,4,
1,18,27,48,83,33,63,186,233,34,19,10,3,
1,30,22,17,71,30,32,141,247,37,30,16,3,
1,28,33,33,168,38,43,174,364,39,29,6,2,
1,42,49,29,11,34,4,155,189,28,19,14,1,
1,19,26,29,14,27,23,103,167,61,35,21,3,
1,33,32,23,12,16,7,53,106,25,21,24,2,
1,28,15,38,26,28,28,160,156,63,18,28,4,
1,44,20,29,4,15,39,81,123,11,4,23,3,
1,18,41,46,68,45,21,131,206,31,19,13,3,
1,26,12,29,105,29,43,154,263,28,31,14,3,
1,16,28,18,58,26,67,161,165,48,9,21,3,
1,30,44,25,101,43,32,161,212,21,16,29,3,
1,36,11,30,58,36,46,131,201,41,12,16,2,
1,46,10,29,9,26,24,156,206,32,20,7,2,
1,28,31,21,104,33,58,168,263,25,14,9,3,
1,18,39,20,11,33,38,164,120,35,15,17,3,
1,20,31,34,28,22,7,146,64,26,27,45,3,
1,29,50,23,112,15,40,149,179,29,17,34,4,
1,21,12,32,3,38,22,146,112,59,25,24,2,
1,23,24,24,12,30,50,161,109,37,16,30,4,
1,19,12,18,49,30,58,142,172,49,40,24,3,
1,15,14,20,14,33,34,145,106,48,24,22,3,
1,29,31,41,140,29,44,185,343,35,37,8,2,
1,29,31,41,140,29,44,185,343,35,37,8,2,
1,51,20,26,138,17,44,148,337,0,17,14,3,
1,18,24,35,86,29,55,160,226,25,16,8,2,
1,33,26,32,111,36,53,139,301,20,23,21,4,
1,44,27,33,106,27,49,194,295,21,15,23,3,
1,35,39,56,148,36,34,202,358,10,38,2,2,
1,32,24,12,163,20,49,189,352,13,20,14,2,
1,37,11,30,3,8,10,73,124,1,11,20,2,
1,35,57,42,24,20,31,98,167,40,21,26,3,
1,28,15,29,139,40,54,184,341,31,20,5,5,
1,16,49,26,4,38,2,92,148,41,26,7,1,
1,20,32,8,9,24,57,126,101,36,20,18,2,
1,22,24,55,17,19,18,77,88,40,27,30,3,
1,29,26,33,67,34,35,145,140,36,44,37,3,
1,47,48,40,22,18,20,126,189,23,26,30,3,
1,19,31,44,107,16,57,183,277,39,33,11,3,
1,63,20,37,111,18,12,105,353,10,29,14,0,
1,20,28,43,114,24,59,193,272,39,30,11,2,
1,25,36,29,7,41,23,153,179,43,25,7,3,
1,20,39,31,12,23,7,106,179,47,41,13,2,
1,24,24,18,85,28,51,152,253,33,18,8,2,
1,19,22,32,122,30,30,126,323,53,14,11,2,
1,17,18,24,162,34,43,119,358,47,11,4,2,
1,20,24,26,108,60,46,135,266,22,12,6,2,
1,22,38,23,16,24,19,125,103,52,12,30,2,
1,29,28,34,150,40,30,99,355,44,24,13,2,
1,22,22,33,30,19,35,84,44,35,17,47,3,
1,12,35,37,98,24,27,106,206,64,22,30,3,
1,26,14,29,126,37,48,195,333,31,23,7,4,
1,32,39,42,103,37,27,127,320,57,20,11,3,
1,28,27,41,26,28,27,92,64,48,25,53,3,
1,16,22,22,78,53,30,138,241,42,27,7,2,
1,26,22,25,12,42,54,131,138,35,24,17,4,
1,22,18,31,12,29,39,102,72,15,18,24,3,
1,23,15,35,115,26,44,106,277,9,33,11,4,
1,24,30,17,87,26,40,160,256,33,23,7,2,
1,44,36,53,164,44,45,197,366,25,35,4,3,
1,28,56,27,105,33,58,178,298,41,19,9,2,
1,25,14,24,9,35,40,89,144,70,40,24,4,
1,16,10,24,7,31,18,61,130,77,28,21,3,
1,26,12,23,9,31,19,88,145,69,38,24,4,
1,25,31,32,22,27,26,107,54,51,18,52,4,
1,20,17,54,144,37,33,140,314,10,18,8,2,
1,32,15,29,86,21,41,111,142,27,41,41,3,
1,27,43,28,125,34,23,181,333,42,33,9,3,
1,29,30,28,50,44,25,137,220,66,33,22,3,
1,31,32,21,130,32,45,183,348,64,33,18,2,
1,33,24,33,103,34,28,103,289,34,23,20,3,
1,15,1,23,63,23,23,89,190,76,23,24,4,
1,16,27,18,16,69,19,173,191,66,38,11,1,
1,22,28,25,13,26,33,111,109,60,24,26,5,
1,44,14,41,17,31,14,86,192,26,40,18,1,
1,22,10,25,78,31,28,190,242,55,32,20,3,
1,33,46,31,84,15,21,100,86,22,20,59,4,
1,16,28,16,88,26,62,172,224,39,20,10,2,
1,20,53,25,66,99,49,140,164,31,21,18,2,
1,18,65,14,102,21,37,138,254,45,26,10,2,
1,18,35,23,157,29,30,128,321,25,26,8,2,
1,28,24,33,7,40,33,156,164,27,25,11,2,
1,20,33,29,3,33,20,95,122,41,35,21,2,
1,29,44,48,82,20,8,92,263,50,50,18,3,
1,20,17,35,167,30,31,114,357,44,22,4,2,
1,14,28,44,80,29,45,177,221,43,20,8,3,
1,27,47,22,146,38,26,154,340,35,23,14,2,
1,10,31,11,12,20,58,145,105,55,33,24,3,
1,42,30,33,119,14,33,157,281,30,21,25,2,
1,14,35,13,50,36,25,110,176,38,22,10,2,
1,21,33,25,22,14,8,85,61,23,16,32,3,
1,18,22,27,14,12,38,113,89,51,20,35,2,
1,29,31,25,169,37,35,154,354,37,24,23,2,
1,21,6,27,130,34,46,113,260,51,16,20,3,
1,20,3,41,4,26,51,113,47,35,48,34,4,
1,15,27,45,111,37,43,157,273,35,41,10,2,
1,17,28,27,171,25,39,125,359,31,12,3,2,
1,11,51,25,9,11,21,91,76,47,10,24,3,
1,26,15,36,6,12,26,71,68,31,35,41,3,
1,22,36,38,74,50,42,143,217,28,27,11,2,
1,19,35,33,70,51,34,137,207,28,22,9,3,
1,11,36,30,17,14,37,123,6,57,15,56,4,
1,32,11,28,23,13,52,101,12,20,7,56,3,
1,21,31,24,33,25,24,106,161,35,24,9,3,
1,17,53,30,52,11,12,57,83,43,34,37,4,
1,30,24,33,133,28,66,164,354,39,49,5,2,
1,27,26,29,48,11,27,74,55,32,12,45,4,
1,20,31,21,65,44,40,167,332,35,25,8,2,
1,15,15,18,122,32,55,126,265,33,16,9,3,
1,10,11,33,14,29,76,151,38,55,63,41,5,
1,29,10,35,62,38,23,129,225,42,28,21,3,
1,16,50,43,141,32,27,194,351,43,28,4,4,
1,14,21,33,16,20,1,99,36,57,18,47,2,
1,23,15,30,73,37,31,182,230,48,33,23,3,
1,18,24,50,85,31,62,166,236,39,23,8,2,
1,30,26,30,36,9,20,82,50,16,21,46,4,
1,19,34,72,6,100,49,102,126,16,12,8,2,
1,18,18,33,115,34,60,121,198,39,14,28,2,
1,17,41,32,35,20,21,74,70,35,12,33,3,
1,19,22,28,147,37,56,117,327,20,26,6,2,
1,25,17,32,3,21,66,125,103,28,26,21,3,
1,19,56,31,9,5,20,103,5,32,27,53,4,
1,31,24,34,71,23,20,50,139,10,23,26,2,
1,5,29,28,54,19,65,119,14,36,8,50,5,
1,13,10,36,4,15,36,79,101,57,32,24,3,
1,13,41,19,81,15,49,151,215,39,22,11,2,
1,26,28,39,118,16,10,74,246,18,20,28,1,
1,8,17,39,7,25,75,128,30,39,66,38,5,
1,23,30,33,83,20,49,110,152,38,14,26,3,
1,12,28,24,14,26,5,90,123,25,29,6,2,
1,29,3,33,137,24,40,96,250,24,33,30,4,
1,36,32,30,2,5,52,129,40,10,6,37,2,
1,13,43,41,52,2,30,95,29,32,5,50,4,
1,3,27,31,47,16,59,158,16,62,5,52,4,
1,19,12,27,104,23,27,97,173,28,19,29,4,
1,19,24,30,8,45,29,188,147,33,27,11,2,
1,36,33,34,116,13,0,36,166,19,8,41,3,
1,23,54,28,146,8,20,123,193,29,22,45,5,
1,15,15,36,117,29,59,111,194,37,9,28,2,
1,14,25,23,13,23,80,203,169,70,27,13,1,
1,14,24,53,75,30,59,156,170,36,44,23,2,
1,20,28,42,81,14,28,92,82,25,33,51,5,
1,37,14,47,4,10,21,45,90,7,24,24,3,
1,18,11,34,26,14,32,62,75,39,46,34,3,
1,19,7,50,45,12,58,106,86,8,28,26,4,
1,19,22,45,20,17,17,93,42,27,36,43,3,
1,14,24,41,85,33,54,179,229,33,21,7,3,
1,17,35,37,24,31,28,129,19,34,17,53,3,
1,18,44,38,118,41,51,191,330,43,25,5,3,
1,10,44,46,80,11,9,70,51,55,19,63,3,
1,17,36,45,3,7,3,64,3,32,28,56,3,
1,28,11,45,1,20,64,128,65,19,15,26,3,
1,17,22,37,3,11,30,72,9,41,10,49,3,
1,10,28,29,11,10,30,96,15,49,34,51,4,
1,5,32,35,53,15,45,126,21,31,5,50,4,
1,10,35,22,52,37,27,88,171,30,26,6,2,
1,42,43,52,19,85,17,60,27,10,31,56,2,
1,19,6,56,70,40,61,131,211,13,17,10,3,
1,16,10,41,3,20,27,95,53,35,26,30,3,
1,19,6,44,44,27,52,112,81,23,28,34,3,
1,26,14,30,142,29,38,170,333,27,24,8,3,
1,16,9,28,14,28,19,97,84,27,12,21,2,
1,16,9,28,14,28,19,97,84,27,12,21,2,
1,30,24,36,3,27,7,64,66,25,12,35,2,
1,30,24,36,3,27,7,64,66,25,12,35,2,
1,15,31,28,19,32,32,123,16,39,20,56,4,
1,27,30,35,154,34,27,106,270,23,28,23,2,
1,19,20,32,86,32,44,156,175,28,26,20,3,
1,14,31,30,6,32,17,107,25,49,28,52,3,
1,24,18,27,77,44,40,113,136,25,33,34,3,
1,23,12,48,7,17,9,57,52,22,27,34,4,
1,12,30,24,9,17,28,96,1,25,17,58,3,
1,17,28,33,36,24,27,103,62,45,22,46,4,
1,21,30,29,87,10,34,94,74,17,11,49,3,
1,29,53,17,33,38,16,124,150,29,25,28,3,
1,41,31,34,48,16,31,129,171,32,19,37,4,
1,28,28,48,170,44,28,126,367,18,18,1,2,
1,23,11,39,143,31,46,137,349,51,52,7,3,
1,20,11,31,9,24,34,88,33,33,40,45,2,
1,18,17,28,57,13,42,88,63,10,17,37,4,
1,20,14,39,100,39,40,85,202,15,30,24,3,
1,19,22,29,39,26,78,159,94,21,33,34,5,
1,17,31,26,42,22,36,79,33,37,34,52,5,
1,28,32,23,14,21,38,131,67,22,18,41,4,
1,12,28,26,152,20,30,115,155,36,18,57,4,
1,22,18,23,110,25,72,149,188,15,30,24,3,
1,12,20,14,98,32,77,180,219,22,4,7,2,
1,24,32,34,77,30,44,158,212,31,27,14,2,
1,30,28,24,34,8,25,81,17,15,11,57,3,
1,24,7,31,4,6,47,98,100,21,41,18,3,
1,18,76,27,46,16,17,62,39,28,36,56,3,
1,21,26,26,44,15,18,64,56,29,13,37,3,
1,27,31,20,69,10,32,124,108,9,9,32,2,
1,18,14,34,11,21,36,89,28,35,42,45,4,
1,20,5,29,127,33,31,70,259,37,9,17,3,
1,19,38,47,91,40,34,149,245,21,21,10,2,
1,15,15,25,49,24,79,150,119,24,49,26,4,
1,18,31,24,85,20,19,106,139,23,12,28,3,
1,20,14,32,51,31,41,111,121,29,30,30,3,
1,21,14,59,42,21,3,104,110,9,33,23,1,
1,10,33,27,45,16,45,97,13,33,31,57,5,
1,14,17,17,115,28,62,136,260,31,26,10,3,
1,20,9,40,127,28,74,163,296,41,52,21,3,
1,8,17,23,46,11,36,131,60,47,5,37,4,
1,22,31,26,11,60,22,126,134,27,26,20,2,
1,0,82,8,3,4,2,1,0,47,8,61,2,
1,15,36,26,24,8,39,133,59,52,34,43,4,
1,14,18,19,173,19,59,164,360,28,27,6,3,
1,22,9,27,145,35,27,130,309,13,13,6,4,
1,22,9,27,145,35,27,130,309,13,13,6,4,
1,30,15,31,52,2,30,83,92,16,13,30,3,
1,26,27,30,23,0,12,124,58,20,39,45,1,
1,19,48,38,119,24,62,201,310,48,32,14,2,
1,16,27,44,88,34,52,173,212,35,22,11,2,
1,33,15,29,7,20,4,39,107,16,47,22,2,
1,20,26,33,149,44,41,143,280,41,26,24,0,
1,15,31,19,37,23,33,113,79,17,12,26,2,
1,1,26,22,107,18,21,93,118,63,2,37,4,
1,19,41,24,24,12,22,66,57,31,10,39,3,
1,19,22,31,93,7,18,91,114,51,9,52,3,
1,25,24,25,77,32,52,180,230,29,11,8,2,
1,13,20,26,99,39,71,115,203,33,14,21,3,
1,12,28,23,165,31,41,93,339,27,19,5,3,
1,16,43,25,87,27,26,80,104,16,5,35,3,
1,22,36,9,35,28,15,49,140,18,13,8,2,
1,23,41,29,65,24,49,120,32,34,1,61,3,
1,26,24,36,26,34,22,113,71,21,27,33,3,
1,13,28,25,11,14,23,83,7,20,15,46,3,
1,21,46,36,92,37,35,129,235,33,24,9,2,
1,2,37,33,3,52,31,124,71,41,14,20,2,
1,18,49,23,118,24,55,140,242,31,28,16,3,
1,19,12,30,107,19,41,124,220,25,23,16,4,
1,13,18,24,119,19,55,116,180,38,14,26,2,
1,25,20,40,144,32,70,193,335,33,45,10,3,
1,16,22,48,61,37,23,102,159,18,68,24,3,
1,24,17,28,31,28,38,104,73,17,34,34,3,
1,16,41,11,62,40,3,73,204,23,20,0,1,
1,21,14,37,5,7,28,87,43,28,12,35,2,
1,15,22,28,12,36,47,165,133,38,24,10,2,
1,26,10,26,152,34,23,116,328,7,17,3,4,
1,16,47,1,64,32,18,55,139,36,16,18,2,
1,13,28,26,85,32,40,143,185,38,25,17,2,
1,9,24,26,109,34,59,98,234,27,24,16,3,
1,19,22,29,104,54,43,159,264,4,20,5,3,
1,15,30,22,139,21,22,81,200,25,12,25,3,
1,28,46,26,6,37,21,170,82,39,12,38,2,
1,26,28,49,119,33,47,104,291,18,18,6,2,
1,20,30,31,14,16,16,111,59,22,36,33,3,
1,20,28,28,118,36,51,130,208,19,32,23,3,
1,28,56,30,97,30,3,171,285,24,35,10,2,
1,26,10,29,133,40,32,150,322,7,18,3,4,
1,26,10,29,133,40,32,150,322,7,18,3,4,
1,17,32,60,128,37,30,105,282,26,24,9,3,
1,22,18,29,9,24,11,49,23,37,7,45,3,
1,32,22,32,6,28,26,83,38,20,17,51,3,
1,12,11,20,63,34,24,115,148,25,28,16,3,
1,12,14,28,6,30,27,74,37,39,27,34,3,
1,12,18,22,52,29,7,104,113,11,37,18,3,
1,17,26,23,109,26,46,111,235,25,14,20,3,
1,19,3,25,146,37,43,77,268,37,9,16,3,
1,14,39,21,56,22,43,126,90,39,14,33,3,
1,18,17,29,101,25,65,154,186,24,24,20,3,
1,9,18,19,156,28,40,95,334,39,20,5,3,
1,9,26,23,165,43,21,106,303,47,24,20,2,
1,16,30,29,68,104,63,137,177,27,14,10,2,
1,8,19,23,99,38,60,121,209,34,13,21,3,
1,16,26,34,82,40,44,168,199,33,24,11,2,
1,16,22,25,87,38,46,162,205,29,24,11,2,
1,25,14,26,135,41,44,136,315,11,15,4,5,
1,22,39,24,60,1,11,58,18,2,33,58,3,
1,25,28,34,12,38,30,129,87,35,21,26,2,
1,17,18,18,47,80,14,97,140,19,18,13,2,
1,9,32,28,78,34,32,124,132,48,24,31,3,
1,14,24,43,155,41,38,149,313,31,25,8,2,
1,26,27,25,117,37,56,153,276,28,34,16,2,
1,9,22,46,66,53,34,162,149,28,20,15,2,
1,18,18,22,164,31,36,100,342,25,20,4,3,
1,33,39,58,132,35,61,115,338,13,13,3,2,
1,19,36,30,159,35,18,127,325,23,28,7,2,
1,21,30,24,121,24,27,117,213,22,39,23,3,
1,18,12,25,164,35,15,130,328,17,17,10,3,
1,0,8,28,3,26,34,72,53,82,23,34,3,
1,11,18,44,174,94,56,104,251,27,9,55,2,
1,10,31,32,35,17,23,98,46,37,18,39,3,
1,30,27,32,23,37,35,155,96,37,29,30,3,
1,20,35,29,19,31,34,128,2,41,30,60,3,
1,10,32,30,80,36,56,196,183,36,20,16,2,
1,25,28,53,127,33,63,144,328,23,19,7,3,
1,10,28,29,40,10,35,87,18,43,32,54,3,
1,20,20,32,16,31,18,83,72,27,20,32,3,
1,7,27,21,48,6,27,89,4,50,28,62,3,
1,10,30,14,4,13,9,65,22,47,14,35,3,
1,9,15,23,134,31,43,94,326,14,40,4,3,
1,16,35,29,77,25,41,150,131,39,23,32,3,
1,35,18,33,4,27,18,98,116,17,21,21,3,
1,11,50,35,24,14,9,58,97,39,22,28,3,
1,16,43,18,47,22,35,101,78,24,16,33,3,
1,9,24,31,121,25,42,109,196,40,27,23,4,
1,12,22,40,7,20,41,100,31,21,38,40,3,
1,8,86,6,72,26,6,66,163,61,18,21,2,
1,18,35,40,17,11,11,63,49,44,37,50,3,
1,18,29,48,113,19,58,118,292,25,28,5,3,
1,20,74,4,7,42,23,114,117,34,13,21,1,
1,19,10,31,124,19,16,137,264,5,10,6,3,
1,20,31,32,126,25,61,150,262,27,30,16,2,
1,7,35,30,42,14,25,90,35,47,17,47,4,
1,18,27,31,7,28,16,75,41,28,30,48,2,
1,31,31,59,15,32,10,88,131,41,23,42,2,
1,12,33,45,11,34,57,166,125,41,23,13,2,
1,12,7,36,6,16,64,129,91,49,18,33,2,
1,18,11,25,79,36,44,110,147,33,11,18,3,
1,20,27,29,128,31,69,141,280,33,24,13,3,
1,10,31,8,66,26,35,119,144,32,22,14,2,
1,14,31,41,20,20,26,110,30,30,12,38,3,
1,12,15,32,4,23,44,108,45,48,19,38,4,
1,7,42,39,33,38,27,128,181,59,26,7,2,
1,10,39,49,3,97,64,158,99,27,19,14,2,
1,10,30,26,12,46,15,121,71,40,9,32,3,
1,20,36,35,92,13,43,110,128,45,9,44,4,
1,22,39,34,24,32,67,142,75,22,30,32,3,
1,12,60,32,82,30,22,101,102,21,12,30,3,
1,13,33,27,70,5,27,113,93,32,10,36,4,
1,18,36,39,86,30,68,151,184,32,24,12,3,
1,13,36,28,20,20,23,82,10,23,18,41,3,
0,30,93,4,22,76,12,42,277,43,39,16,2,
0,8,72,0,12,73,14,46,162,75,26,17,2,
0,31,49,20,12,88,7,28,263,34,64,11,2,
0,35,79,11,22,67,12,95,263,34,40,16,2,
0,27,57,19,26,105,5,6,270,38,63,24,3,
0,18,58,4,19,52,3,6,212,56,38,10,3,
0,27,60,15,16,69,9,26,270,55,36,11,4,
0,29,85,21,16,68,16,76,237,48,22,11,2,
0,26,58,46,17,70,19,58,277,53,31,7,2,
0,38,57,28,17,89,17,114,288,10,74,16,2,
0,33,63,17,16,64,10,26,288,47,33,6,3,
0,36,69,9,20,69,11,93,253,32,40,16,2,
0,25,86,0,24,59,0,5,311,66,26,8,2,
0,8,58,8,22,33,15,81,140,79,37,57,2,
0,5,36,0,14,34,25,49,80,80,53,63,3,
